TITLE = "Output for Element 52  "  
VARIABLES = "X","Y","U1", "V1", "V2", "V", "Phi", "q", "S6", "S7", "S8", "S9", "S10"
ZONE N=  760, E= 1412, F=FEPOINT, ET=TRIANGLE
  0.1000E+01  0.0000E+00  0.2492E+01  0.1159E+00 -0.1011E+00  0.1538E+00  0.2493E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3500E+01  0.0000E+00  0.4501E+01  0.9977E+00 -0.2261E-02  0.9977E+00  0.4467E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3500E+01  0.2000E+01  0.4469E+01  0.1002E+01 -0.2186E-02  0.1002E+01  0.4436E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.2000E+01  0.0000E+00  0.1776E+01  0.0000E+00  0.1776E+01  0.5919E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  0.1000E+01  0.0000E+00  0.2560E+01  0.0000E+00  0.2560E+01  0.8363E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1951E+00  0.9808E+00  0.5025E+00  0.2419E+01 -0.4435E+00  0.2462E+01  0.5025E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4714E+00  0.8819E+00  0.1206E+01  0.1934E+01 -0.9589E+00  0.2160E+01  0.1206E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6344E+00  0.7730E+00  0.1611E+01  0.1487E+01 -0.1113E+01  0.1859E+01  0.1611E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7730E+00  0.6344E+00  0.1950E+01  0.1023E+01 -0.1096E+01  0.1500E+01  0.1950E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.8819E+00  0.4714E+00  0.2212E+01  0.6078E+00 -0.9182E+00  0.1102E+01  0.2212E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.9808E+00  0.1951E+00  0.2447E+01  0.1952E+00 -0.4197E+00  0.4637E+00  0.2446E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1100E+01  0.0000E+00  0.2503E+01  0.2052E+00 -0.7088E-01  0.2214E+00  0.2505E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1200E+01  0.0000E+00  0.2532E+01  0.3610E+00 -0.6297E-01  0.3673E+00  0.2532E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1300E+01  0.0000E+00  0.2575E+01  0.4801E+00 -0.5116E-01  0.4832E+00  0.2575E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
